date,stock_code,buy_count,sell_count,is_top_recommended,is_top_not_recommended,recommended_view_sum,not_recommended_view_sum,return_5d
2026-04-02,2454,3,3,0,0,0,0,0.10580204778156997
2026-04-02,2467,1,0,0,0,0,0,0.4005102040816326
2026-04-02,2486,0,1,0,0,0,0,0.30201342281879195
2026-04-02,2492,1,0,0,0,0,0,0.19298245614035087
2026-04-02,2605,1,0,0,0,0,0,-0.029055709082498788
2026-04-02,2609,0,1,0,0,0,0,-0.028790787791386867
2026-04-02,3006,0,1,0,0,0,0,0.059800664451827246
2026-04-02,3015,1,0,0,0,0,0,0.020202020202020204
2026-04-02,3017,2,1,0,0,0,0,0.06280193236714976
2026-04-02,3035,0,1,0,0,0,0,0.07194244604316546
2026-04-02,3037,2,1,0,0,0,0,0.20616570327552985
2026-04-02,3081,2,0,0,0,0,0,0.27123287671232876
2026-04-02,3105,2,0,0,0,0,0,0.21808510638297873
2026-04-02,3131,1,0,0,0,0,0,0.127831715210356
2026-04-02,3163,2,2,0,0,0,0,0.2605042016806723
2026-04-02,3167,1,0,0,0,0,0,0.3782267115600449
2026-04-02,3169,1,0,0,0,0,0,0.01903691926255454
2026-04-02,3189,2,1,0,0,0,0,0.09077380952380952
2026-04-02,3211,1,1,0,0,0,0,0.08283132530120482
2026-04-02,3231,1,4,0,0,0,0,0.076
2026-04-02,3260,2,2,0,0,0,0,0.011065006915629323
2026-04-02,3324,1,1,0,0,0,0,0.03296703296703297
2026-04-02,3339,1,0,0,0,0,0,0.3052361809064812
2026-04-02,3363,2,1,0,0,0,0,0.245
2026-04-02,3376,0,1,0,0,0,0,0.056
2026-04-02,3437,1,0,0,0,0,0,0.12561582464268217
2026-04-02,3443,0,1,0,0,0,0,0.1961206896551724
2026-04-02,3450,0,1,0,0,0,0,0.2842323651452282
2026-04-02,3455,1,0,0,0,0,0,0.3669064748201439
2026-04-02,3481,2,1,0,0,0,0,0.06693710523589261
2026-04-02,3491,2,0,0,0,0,0,0.1939799331103679
2026-04-02,3653,1,1,0,0,0,0,0.09029649595687332
2026-04-02,3661,2,1,0,0,0,0,0.1423290203327172
2026-04-02,3665,2,0,0,0,0,0,0.1618798955613577
2026-04-02,3680,0,1,0,0,0,0,0.017333333333333333
2026-04-02,3702,1,0,0,0,0,0,0.0977272553877397
2026-04-02,3714,1,0,0,0,0,0,0.05535055272639999
2026-04-02,3715,1,0,0,0,0,0,0.08430232558139535
2026-04-02,4526,2,0,0,0,0,0,0.05731516210333767
2026-04-02,4576,1,0,0,0,0,0,0.39080459770114945
2026-04-02,4772,0,1,0,0,0,0,0.0631768953068592
2026-04-02,4906,1,0,0,0,0,0,0.03307886163607419
2026-04-02,4931,1,0,0,0,0,0,0.07662835249042145
2026-04-02,4958,4,0,0,0,0,0,0.20608899297423888
2026-04-02,4967,1,1,0,0,0,0,0.050239234449760764
2026-04-02,4977,1,0,0,0,0,0,0.09269662921348315
2026-04-02,4979,3,1,0,0,0,0,0.2109375
2026-04-02,4991,1,0,0,0,0,0,0.34022988505747126
2026-04-02,5243,2,0,0,0,0,0,0.26467453425272564
2026-04-02,5289,1,1,0,0,0,0,0.18599791013584116
2026-04-02,5351,1,0,0,0,0,0,0.0484115681014661
2026-04-02,5439,1,0,0,0,0,0,0.30018083182640143
2026-04-02,5443,1,1,0,0,0,0,0.1773546734168204
2026-04-02,5475,1,0,0,0,0,0,0.1663286004056795
2026-04-02,6123,1,0,0,0,0,0,-0.028636883305924028
2026-04-02,6125,1,0,0,0,0,0,0.013133222757210261
2026-04-02,6139,0,1,0,0,0,0,0.1708253358925144
2026-04-02,6147,1,1,0,0,0,0,0.3869047619047619
2026-04-02,6173,1,0,0,0,0,0,0.25744316936013695
2026-04-02,6187,1,0,0,0,0,0,0.16201117318435754
2026-04-02,6196,1,0,0,0,0,0,0.13652482269503546
2026-04-02,6213,3,0,0,0,0,0,0.2
2026-04-02,6223,1,1,0,0,0,0,0.20717131474103587
2026-04-02,6239,0,1,0,0,0,0,0.08168316831683169
2026-04-02,6274,3,0,0,0,0,0,0.2898550724637681
2026-04-02,6285,1,0,0,0,0,0,0.3816155988857939
2026-04-02,6409,0,1,0,0,0,0,-0.029769959404600813
2026-04-02,6415,1,0,0,0,0,0,-0.0036496350364963502
2026-04-02,6438,1,0,0,0,0,0,0.06470588235294118
2026-04-02,6442,1,0,0,0,0,0,0.115
2026-04-02,6488,0,1,0,0,0,0,0.21978021978021978
2026-04-02,6509,1,0,0,0,0,0,0.04143333507052277
2026-04-02,6531,0,1,0,0,0,0,0.28863636363636364
2026-04-02,6548,1,0,0,0,0,0,0.13043478260869565
2026-04-02,6588,1,0,0,0,0,0,0.1450381679389313
2026-04-02,6640,2,0,0,0,0,0,0.28
2026-04-02,6664,1,0,0,0,0,0,0.1607898448519041
2026-04-02,6669,0,1,0,0,0,0,0.0689149560117302
2026-04-02,6683,1,0,0,0,0,0,0.27586206896551724
2026-04-02,6706,1,0,0,0,0,0,0.18410041841004185
2026-04-02,6770,1,2,0,0,0,0,0.018691588785046728
2026-04-02,6781,0,1,0,0,0,0,0.03134796238244514
2026-04-02,6831,1,0,0,0,0,0,0.1630012936610608
