code,name,english_name
2009,第一伸銅科技股份有限公司,FCC
2010,春源鋼鐵工業股份有限公司,CHUN YUAN STEEL
2012,春雨工廠股份有限公司,CHUN YU
2013,中國鋼鐵結構股份有限公司,CSSC
2014,中鴻鋼鐵股份有限公司,CHUNG HUNG
2015,豐興鋼鐵股份有限公司,FH
2017,官田鋼鐵股份有限公司,Quintain Steel
2020,美亞鋼管廠股份有限公司,MAYER PIPE
2022,聚亨企業股份有限公司,TYCOONS
2023,燁輝企業股份有限公司,YP
2024,志聯工業股份有限公司,CHIH LIEN
2025,千興不銹鋼(股)公司,CSSSC
2027,大成不銹鋼工業股份有限公司,TC
2028,威致鋼鐵工業股份有限公司,WEI CHIH
2029,盛餘股份有限公司,SYSCO
2030,彰源企業股份有限公司,FROCH
2031,新光鋼鐵股份有限公司,Hkssteel
2032,新鋼工業股份有限公司,Sinkang
2033,佳大世界股份有限公司,CHIA TA
2034,允強實業股份有限公司,YC
2035,唐榮鐵工廠股份有限公司,唐榮公司
2038,海光企業股份有限公司,HAIKWANG
2049,上銀科技股份有限公司,HIWIN
2059,川湖科技股份有限公司,king slide
2061,風青實業股份有限公司,風青
2062,橋椿金屬股份有限公司,SSM
2063,世鎧精密股份有限公司,世鎧精密
2064,晉椿工業股份有限公司,晉椿
2065,世豐螺絲股份有限公司,世豐
2066,世德工業股份有限公司,世德
2067,嘉鋼精密工業股份有限公司,嘉鋼
2069,運錩鋼鐵股份有限公司,YC
2070,精湛光學科技股份有限公司,精湛
2073,雄順金屬股份有限公司,雄順
2101,南港輪胎股份有限公司,NK
2102,泰豐輪胎股份有限公司,FEDERAL CORP
2103,台橡股份有限公司,TSRC
2104,國際中橡投資控股股份有限公司,CSRC
2105,正新橡膠工業股份有限公司,CST
2106,建大工業股份有限公司,KENDA
2107,厚生股份有限公司,FRG
2108,南帝化學工業股份有限公司,NANTEX
2109,華豐橡膠工業股份有限公司,HWA FONG
2114,鑫永銓股份有限公司,HYC
2115,六暉控股股份有限公司,LU HAI
2201,裕隆汽車製造股份有限公司,YL
2204,中華汽車工業股份有限公司,CMC
2206,三陽工業股份有限公司,SYM
2207,和泰汽車股份有限公司,HOTAI MOTOR
2208,台灣國際造船股份有限公司,CSBC
2211,長榮鋼鐵股份有限公司,EGST
2221,大甲永和機械工業股份有限公司,大甲
2227,裕隆日產汽車股份有限公司,YNM
2228,劍麟股份有限公司,IRF
2230,泰茂實業股份有限公司,泰茂
2231,為升電裝工業股份有限公司,CUB
2233,宇隆科技股份有限公司,TURVO
2235,謚源實業股份有限公司,謚源
2236,百達精密工業股份有限公司,Patec
2239,開曼英利工業股份有限公司,Cayman Engley
2241,艾姆勒科技股份有限公司,Amulaire
2243,宏旭控股股份有限公司,HS
2247,汎德永業汽車股份有限公司,PGUM
2248,華勝汽車電子股份有限公司,eLAND
2250,第一化成控股(開曼)股份有限公司,IKKA-KY
2254,巨鎧精密工業股份有限公司,COPLUS
2258,鴻華先進科技股份有限公司,Foxtron
2301,光寶科技股份有限公司,LTC
2302,麗正國際科技股份有限公司,RECTRON
2303,聯華電子股份有限公司,UMC
2305,全友電腦股份有限公司,MII
2308,台達電子工業股份有限公司,DELTA
2312,金寶電子工業股份有限公司,KINPO
2313,華通電腦股份有限公司,COMPEQ
2314,台揚科技股份有限公司,MTI
2316,楠梓電子股份有限公司,WUS
2317,鴻海精密工業股份有限公司,HON HAI
2321,東訊股份有限公司,TECOM
2323,中環股份有限公司,CMC
2324,仁寶電腦工業股份有限公司,Compal
2327,國巨股份有限公司,YAGEO
2328,廣宇科技股份有限公司,PI
2329,華泰電子股份有限公司,OSE
2330,台灣積體電路製造股份有限公司,TSMC
2331,精英電腦股份有限公司,ECS
2332,友訊科技股份有限公司,D-LINK
2337,旺宏電子股份有限公司,Macronix
2338,台灣光罩股份有限公司,TMC
2340,台亞半導體股份有限公司,TASC
2342,台灣茂矽電子股份有限公司,MVI
2344,華邦電子股份有限公司,WEC
2345,智邦科技股份有限公司,ACCTON
2347,聯強國際股份有限公司,Synnex
2348,海悅國際開發股份有限公司,Hiyes
2349,錸德科技股份有限公司,RITEK
2351,順德工業股份有限公司,SDI
2352,佳世達科技股份有限公司,Qisda
2353,宏碁股份有限公司,ACER
2354,鴻準精密工業股份有限公司,FTC
2355,敬鵬工業股份有限公司,CHIN-POON
2356,英業達股份有限公司,INVENTEC
2357,華碩電腦股份有限公司,ASUSTEK
2359,所羅門股份有限公司,SOLOMON
2360,致茂電子股份有限公司,CHROMA
2362,藍天電腦股份有限公司,CLEVO CO.
2363,矽統科技股份有限公司,SiS
2364,倫飛電腦實業股份有限公司,Twinhead
2365,昆盈企業股份有限公司,KYE
2367,燿華電子股份有限公司,UNITECH
2368,金像電子(股)公司,GCE
2369,菱生精密工業股份有限公司,LPI
2371,大同股份有限公司,TATUNG COMPANY
2373,震旦行股份有限公司,Aurora
2374,佳能企業股份有限公司,ABILITY
2375,凱美電機股份有限公司,KAIMEI
2376,技嘉科技股份有限公司,GIGABYTE
2377,微星科技股份有限公司,MSI
2379,瑞昱半導體股份有限公司,RT
2380,虹光精密工業股份有限公司,AVISION
2382,廣達電腦股份有限公司,QCI
2383,台光電子材料股份有限公司,EMC
2385,群光電子股份有限公司,CHICONY
2387,精元電腦股份有限公司,SUNREX
2388,威盛電子股份有限公司,VIA
2390,云辰電子開發股份有限公司,EVERSPRING
2392,正崴精密工業股份有限公司,FOXLINK
2393,億光電子工業股份有限公司,EVERLIGHT
2395,研華股份有限公司,Advantech
2397,友通資訊股份有限公司,DFI Inc.
2399,映泰股份有限公司,BIOSTAR
2401,凌陽科技股份有限公司,SUNPLUS
2402,毅嘉科技股份有限公司,ICHIA
2404,漢唐集成股份有限公司,UIS
2405,輔信科技股份有限公司,Shuttle
2406,國碩科技工業股份有限公司,GSC
2408,南亞科技股份有限公司,NTC
2409,友達光電股份有限公司,AUO
2412,中華電信股份有限公司,CHT
2413,環隆科技股份有限公司,UMEC
2414,精技電腦股份有限公司,UT
2415,錩新科技股份有限公司,CX TECH
2417,圓剛科技股份有限公司,AVERMEDIA
2419,仲琦科技股份有限公司,H.T.
2420,新巨企業股份有限公司,ZIPPY
2421,建準電機工業股份有限公司,SUNON
2423,固緯電子實業股份有限公司,GW
2424,隴華電子股份有限公司,LUNG HWA
2425,承啟科技股份有限公司,CHAINTECH
2426,鼎元光電科技股份有限公司,TYNTEK
2427,三商電腦股份有限公司,MDS
2428,興勤電子工業股份有限公司,THINKING
2429,銘旺科技股份有限公司,PWT
2430,燦坤實業股份有限公司,TKE
2431,聯昌電子企業股份有限公司,LIEN CHANG
2432,倚天酷碁股份有限公司,AGT
2433,互盛股份有限公司,HUXEN
2434,統懋半導體股份有限公司,MOSPEC
2436,偉詮電子股份有限公司,Weltrend
2438,翔耀實業股份有限公司,ENLIGHT
2439,美律實業股份有限公司,MERRY
2440,太空梭高傳真資訊科技(股)公司,SPACE SHUTTLE
2441,超豐電子股份有限公司,GTK
2442,新美齊股份有限公司,JEAN
2444,兆勁科技股份有限公司,AboCom
2449,京元電子股份有限公司,KYEC
2450,神腦國際企業股份有限公司,SENAO
2451,創見資訊股份有限公司,Transcend
2453,凌群電腦股份有限公司,SYSCOM
2454,聯發科技股份有限公司,MediaTek
2455,全新光電科技股份有限公司,VPEC
2457,飛宏科技股份有限公司,PHIHONG
2458,義隆電子股份有限公司,ELAN
2459,敦吉科技股份有限公司,AUDIX
2460,建通精密工業股份有限公司,GEM
2461,光群雷射科技股份有限公司,K LASER
2462,台灣良得電子股份有限公司,LINETEK
2464,盟立自動化股份有限公司,Mirle
2465,麗臺科技股份有限公司,LEADTEK
2466,冠西電子企業股份有限公司,COSMO
2467,志聖工業股份有限公司,C SUN
2468,華經資訊企業股份有限公司,FIS
2471,資通電腦股份有限公司,ARES
2472,立隆電子工業股份有限公司,LELON
2474,可成科技股份有限公司,CATCHER
2476,鉅祥企業股份有限公司,GS
2477,美隆工業股份有限公司,MEILOON
2478,大毅科技股份有限公司,TA-I
2480,敦陽科技股份有限公司,STARK
2481,強茂股份有限公司,PANJIT
2482,連宇股份有限公司,UIC
2483,百容電子股份有限公司,ECE
2484,希華晶體科技股份有限公司,SIWARD
2485,兆赫電子股份有限公司,ZINWELL
2486,一詮精密工業股份有限公司,I-CHIUN
2488,漢平電子工業股份有限公司,HANPIN
2489,瑞軒科技股份有限公司,AMTRAN
2491,吉祥全球實業股份有限公司,FOCL
2492,華新科技股份有限公司,WTC
2493,揚博科技股份有限公司,AMPOC
2495,普安科技股份有限公司,Infortrend
2496,卓越成功股份有限公司,SPC
2497,怡利電子工業股份有限公司,E-LEAD
2498,宏達國際電子股份有限公司,HTC
2501,國泰建設股份有限公司,CATHAY RED
2504,國產建材實業股份有限公司,GBM
2505,國揚實業股份有限公司,ky
2506,太平洋建設股份有限公司,PCC
2509,全坤建設開發股份有限公司,CHAINQUI
2511,太子建設開發股份有限公司,PHD
2514,龍邦國際興業股份有限公司,LONG BON
2515,中華工程股份有限公司,BES
2516,新亞建設開發股份有限公司,New Asia
2520,冠德建設股份有限公司,KINDOM
2524,京城建設股份有限公司,KTC
2527,宏璟建設股份有限公司,Hung Ching
2528,皇普建設股份有限公司,CROWELL
2530,大華建設股份有限公司,DELPHA
2534,宏盛建設股份有限公司,HSC
2535,達欣工程股份有限公司,DA-CIN
2536,宏普建設股份有限公司,Hong Pu
2537,聯上開發股份有限公司,WE & WIN
2538,基泰建設股份有限公司,KeeTai
2539,櫻花建設股份有限公司,SAKURAD
2540,愛山林建設開發股份有限公司,JSL
2542,興富發建設股份有限公司,Highwealth
2543,皇昌營造股份有限公司,HWANG CHANG
2545,皇翔建設股份有限公司,HUANG HSIANG
2546,根基營造股份有限公司,KEDGE
2547,日勝生活科技股份有限公司,RADIUM
2548,華固建設股份有限公司,HUAKU
2596,綠意開發股份有限公司,綠意
2597,潤弘精密工程事業股份有限公司,REC
2601,益航股份有限公司,FSC
2603,長榮海運股份有限公司,EMC
2605,新興航運股份有限公司,SNC
2606,裕民航運股份有限公司,U-MING
2607,長榮國際儲運股份有限公司,EITC
2608,嘉里大榮物流股份有限公司,Kerry TJ
2609,陽明海運股份有限公司,YMTC
2610,中華航空股份有限公司,CAL
2611,志信國際股份有限公司,TSI
2612,中國航運股份有限公司,CMT
2613,中國貨櫃運輸股份有限公司,CCTC
2614,東森國際股份有限公司,EMIC
2615,萬海航運股份有限公司,WANHAI
2616,山隆通運股份有限公司,SLC
2617,台灣航業股份有限公司,TNC
2618,長榮航空股份有限公司,EVAAIR
2630,亞洲航空股份有限公司,AACL
2633,台灣高速鐵路股份有限公司,THSRC
2634,漢翔航空工業股份有限公司,AIDC
2636,台驊國際控股股份有限公司,T3EX
2637,慧洋海運股份有限公司,WISDOM
2640,台灣大車隊股份有限公司,大車隊
2641,正德海運股份有限公司,正德
2642,台灣宅配通股份有限公司,Pelican
2643,捷迅股份有限公司,捷迅
2645,長榮航太科技股份有限公司,EGAT
2646,星宇航空股份有限公司,STARLUX AIR
2701,萬華企業股份有限公司,WANHWA
2702,華園飯店股份有限公司,HG
2704,國賓大飯店股份有限公司,AMBH
2705,六福開發股份有限公司,LEOFOO
2706,第一華僑大飯店股份有限公司,FIRST HOTEL
2707,晶華國際酒店股份有限公司,GFRT
2712,遠雄悅來大飯店股份有限公司,FGH
2718,全心投資控股股份有限公司,全心投控
2719,台鋼燦星國際旅行社股份有限公司,燦星旅
2722,夏都國際開發股份有限公司,Chateau
2723,開曼美食達人股份有限公司,Gourmet
2724,藝舍國際創新股份有限公司,藝舍-KY
2726,雅茗天地股份有限公司,雅茗-KY
